datetime_local,date,year,month,hour,station_name_clean,location_clean,h2s_ppb,h2s_level_clean,elevated_h2s_event,orange_h2s_event,valid_h2s_record,h2s_ppb_original,h2s_ppb_clean,h2s_level,exceedance_30ppb,exceedance_200ppb,nighttime_flag,analysis_period,review_status,negative_value_flag,missing_h2s_flag,source,source_note,notes
2024-10-30 13:00:00,2024-10-30,2024,2024-10,13,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.7,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 13:00:00,2024-10-30,2024,2024-10,13,San Ysidro - Fire Station #29,SAN YSIDRO,0.1,Green (0-4.9 ppB),False,False,True,0.1,0.1,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 14:00:00,2024-10-30,2024,2024-10,14,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,,,Missing/Not visible,0,0,0,Immediate post-emergency,missing_visible,0,1,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 14:00:00,2024-10-30,2024,2024-10,14,San Ysidro - Fire Station #29,SAN YSIDRO,,Missing/Not visible,False,False,False,-0.2,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 15:00:00,2024-10-30,2024,2024-10,15,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,,,Missing/Not visible,0,0,0,Immediate post-emergency,missing_visible,0,1,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 15:00:00,2024-10-30,2024,2024-10,15,San Ysidro - Fire Station #29,SAN YSIDRO,,Missing/Not visible,False,False,False,-0.3,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 16:00:00,2024-10-30,2024,2024-10,16,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,,,Missing/Not visible,0,0,0,Immediate post-emergency,missing_visible,0,1,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 16:00:00,2024-10-30,2024,2024-10,16,San Ysidro - Fire Station #29,SAN YSIDRO,0.4,Green (0-4.9 ppB),False,False,True,0.4,0.4,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-11-08 17:00:00,2024-11-08,2024,2024-11,17,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,,,Missing/Not visible,0,0,0,Immediate post-emergency,missing_visible,0,1,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-11-08 19:00:00,2024-11-08,2024,2024-11,19,San Ysidro - Fire Station #29,SAN YSIDRO,0.2,Green (0-4.9 ppB),False,False,True,0.2,0.2,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-11-18 00:00:00,2024-11-18,2024,2024-11,0,San Ysidro - Fire Station #29,SAN YSIDRO,2.7,Green (0-4.9 ppB),False,False,True,2.7,2.7,Green (0-4.9 ppB),0,0,1,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-11-18 01:00:00,2024-11-18,2024,2024-11,1,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-7.6,,Missing/Not visible,0,0,1,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-11-18 01:00:00,2024-11-18,2024,2024-11,1,San Ysidro - Fire Station #29,SAN YSIDRO,3.7,Green (0-4.9 ppB),False,False,True,3.7,3.7,Green (0-4.9 ppB),0,0,1,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
